experiment_id,model,dataset,epochs,actual_epochs,batch_size,learning_rate,optimizer,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,precision,recall,f1_score,auc,trainable_parameters,training_time_seconds,timestamp
EXP_001,CustomCNN,clinical_oral,5,5,16,0.001,Adam,0.593,0.7395,0.5333,0.6833,0.6,0.6333,0.6314,0.6333,0.6132,0.7964,468322,67.37,2026-09-15T10:41:18.637161+00:00
EXP_002,ResNet18,clinical_oral,10,10,32,0.001,Adam,0.0921,0.1718,0.1017,0.9688,0.9,0.95,0.9542,0.95,0.9496,0.9949,11177538,150.51,2026-09-15T10:48:53.093737+00:00
EXP_003,ResNet50,clinical_oral,10,10,32,0.0005,Adam,0.1477,0.7989,0.2648,0.95,0.7,0.95,0.95,0.95,0.95,0.9899,23512130,364.27,2026-09-15T10:55:16.110278+00:00
EXP_004,EfficientNetB0,clinical_oral,10,9,32,0.001,Adam,0.0338,1.0586,0.2112,0.9875,0.775,0.9,0.905,0.9,0.9003,0.9848,4010110,161.36,2026-09-15T10:58:05.839158+00:00
EXP_005,DenseNet121,clinical_oral,10,9,32,0.0005,Adam,0.0766,0.2842,0.1265,0.9875,0.85,0.925,0.934,0.925,0.924,0.9899,6955906,265.54,2026-09-15T15:46:35.380337+00:00
EXP_006,ResNet18,clinical_oral,20,19,32,0.001,Adam,0.0116,0.3542,0.0637,1.0,0.9,0.975,0.9761,0.975,0.9749,0.9975,11177538,235.78,2026-09-15T15:50:33.914264+00:00
EXP_007,ResNet18,clinical_oral,30,19,32,0.001,Adam,0.0116,0.3542,0.0637,1.0,0.9,0.975,0.9761,0.975,0.9749,0.9975,11177538,232.44,2026-09-15T15:54:28.641373+00:00
EXP_008,ResNet18,clinical_oral,10,10,16,0.001,Adam,0.2835,0.7186,0.3617,0.8625,0.8,0.875,0.9022,0.875,0.8746,0.9899,11177538,195.95,2026-09-15T15:57:50.275617+00:00
EXP_009,ResNet18,clinical_oral,10,10,64,0.001,Adam,0.0619,1.1265,0.5397,0.975,0.725,0.85,0.8821,0.85,0.844,0.9798,11177538,151.52,2026-09-15T16:00:25.632286+00:00
EXP_010,ResNet18,clinical_oral,10,10,32,0.0001,Adam,0.0414,0.3864,0.2486,0.9812,0.85,0.9,0.9031,0.9,0.8992,0.9773,11177538,128.12,2026-09-15T16:02:36.133129+00:00
EXP_011,ResNet18,clinical_oral,10,10,32,0.01,Adam,0.684,1.8067,3.1835,0.5375,0.7,0.575,0.5694,0.575,0.5403,0.6237,11177538,126.86,2026-09-15T16:04:45.372791+00:00
EXP_012,ResNet18,ndu_ufes_histo,10,10,16,0.001,Adam,0.3477,0.3826,0.3309,0.8521,0.8214,0.875,0.8801,0.875,0.8769,0.9133,11177538,245.3,2026-09-15T16:08:55.199807+00:00
